VLCAX,-0.107609,-2.19702,3.78909
VGSIX,-1.03768,5.22137,3.77804
VLISX,-0.105297,-2.1994,3.77491
VLACX,-0.213917,-2.24613,3.77385
FBUSX,1.7849,-4.10513,3.76811
VSBPX,2.58681,-1.0972,3.75846
VPKIX,1.26751,-7.96174,3.75435
VSBMX,2.56224,-1.11829,3.7481
RNPGX,4.77241,-1.45304,3.74214
RNPFX,4.72375,-1.48129,3.72093
VPAPX,1.26185,-7.93575,3.71691
FGABX,1.28848,-4.29385,3.70929
VPADX,1.17456,-7.96347,3.69909
ANWFX,4.67367,-1.50924,3.69862
FBLYX,1.54154,-4.23417,3.69666
FHCCX,-3.85933,-15.2072,3.69251
MQY,8.03949,7.27918,3.6912
CNPFX,4.60765,-1.55059,3.68115
FAHTX,-3.54719,-14.8884,3.68037
MUC,7.47978,7.93739,3.67705
ANWPX,4.4702,-1.61122,3.66923
OSCIX,14.8585,1.66866,3.66216
RNPEX,4.43886,-1.60442,3.65752
BOE,2.48363,-5.92209,3.65463
VONE,-0.443656,-2.57131,3.65153
CNPAX,4.37326,-1.62772,3.65145
VPL,1.24111,-7.6841,3.64938
NPFFX,4.40932,-1.64576,3.63336
VPACX,1.01048,-8.06408,3.61011
OSMYX,14.6501,1.58511,3.60998
CNPEX,4.12922,-1.74927,3.60537
VTCIX,0.534907,-2.47049,3.60251
PRHSX,11.8661,-6.83744,3.59261
VTCLX,0.498198,-2.4872,3.5901
RNPCX,4.10573,-1.77766,3.58142
RPEBX,4.28769,-1.77176,3.57143
BIBDX,1.99808,-0.588915,3.56779
BKN,-1.05272,7.90499,3.5636
RNGGX,3.33604,-5.08221,3.56074
FDGIX,-1.74508,-3.82317,3.55772
OSMAX,14.3751,1.46175,3.55667
MALVX,-2.43138,-3.43081,3.55223
RNGFX,3.29997,-5.09444,3.55206
SHSSX,9.21565,-5.6991,3.54813
FZADX,-1.65096,-3.75829,3.52938
BABDX,1.73185,-0.622871,3.52789
FZAPX,-1.0952,-5.11176,3.52213
VFTNX,0.261761,-2.74535,3.52141
CNGFX,3.15154,-5.16503,3.52035
FSSKX,-1.08991,-5.12487,3.51806
NEFFX,3.23457,-5.12116,3.51595
BRGNX,-0.31549,-2.60531,3.51254
NPFBX,3.70886,-1.95096,3.50682
VFTSX,0.16976,-2.83679,3.5007
RNGEX,3.01039,-5.21279,3.49189
RNPAX,3.66762,-1.97778,3.48971
ANEFX,3.04017,-5.21848,3.48964
OSMNX,14.1071,1.36713,3.48939
RNPBX,3.69424,-1.96131,3.48838
FGTNX,0.795519,-4.56623,3.48046
SHSAX,8.92748,-5.83043,3.48007
FBRNX,-1.24188,-5.16532,3.47904
PAGLX,0.211981,-5.13724,3.47744
RNNEX,3.07566,-5.23023,3.46995
SHISX,8.91819,-5.83273,3.46708
CNPCX,3.61412,-1.99193,3.4669
CNGAX,2.9275,-5.26316,3.46534
FADAX,-1.99438,-3.93423,3.46448
NPFCX,3.63947,-1.98978,3.46296
CNPBX,3.57746,-1.99893,3.46089
FDGTX,-2.19898,-3.97742,3.45887
MEN,8.54549,8.66876,3.45832
ANFFX,2.98102,-5.2369,3.45766
BRGAX,-0.510815,-2.68279,3.45572
RPGEX,0.262221,-5.10461,3.4536
BRGKX,-0.282197,-2.60671,3.45075
MKLVX,-2.40592,-3.46778,3.43833
POMIX,-0.757776,-3.03492,3.43805
MSLVX,-2.75355,-3.54826,3.43648
FMAMX,-1.49321,-5.30257,3.42919
MDLVX,-2.74918,-3.55396,3.42836
RNGCX,2.70718,-5.37033,3.42142
MRLVX,-2.98939,-3.64784,3.41831
RPIGX,0.352059,-5.12568,3.40894
OSMBX,13.5434,1.12814,3.40135
